tên đường,bắt đầu,kết thúc,giá đất ở v1,giá đất ở v2,giá đất ở v3,giá đất ở v4,giá đất thương mai v1,giá đất thương mại v2,giá đất thương mại v3,giá đất thương mại v4,giá đất kinh doanh phi nông nghiệp v1,giá đất kinh doanh phi nông nghiệp v2,giá đất kinh doanh phi nông nghiệp v3,giá đất kinh doanh phi nông nghiệp v4,quận
vu xuan thieu,Qua cống Hàm Rồng,Phúc Lợi,14152,9199,8018,7076,8774,5703,4971,4387,7395,5324,4733,4067,long bien
xuan do,Đầu đường,Cuối đường,10350,7038,6003,5486,6417,4364,3722,3401,5295,3706,2950,2542,long bien
an hoa,Đầu đường,Cuối đường,21516,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
ao sen,Đầu đường,Cuối đường,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
ba la,Quốc lộ 6A,Đầu Công ty Giống cây trồng,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
ba trieu,Quang Trung,Đường Tô Hiệu,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,ha dong
ba trieu,Đường Tô Hiệu,Công ty sách Thiết bị trường học,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
bach thai buoi,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
be van dan,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
bui bang doan,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
cao thang,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
cau am,Từ đầu cầu Am,Đến điểm bưu điện văn hóa phường Vạn Phúc,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
cau do,Đầu đường,Cuối đường,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,ha dong
chien thang,Đầu đường,Cuối đường,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
chu van an,Bưu điện Hà Đông,Cầu Am,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,ha dong
dai an,Đầu đường,Cuối đường,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
dinh tien hoang,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
19/5,Cầu Đen,Đường Chiến Thắng,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
72,Địa phận quận Hà Đông,Địa phận quận Hà Đông,11730,7859,6686,6100,7273,4873,4145,3782,6109,4215,3299,2933,ha dong
bien giang,Cầu Mai Lĩnh,Hết địa phận quận Hà Đông,11730,7859,6686,6100,7273,4873,4145,3782,6109,4215,3299,2933,ha dong
da si,Công ty Giày Yên Thủy,Đường Phúc La,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
lam,Đầu đường,Cuối đường,16704,10524,8853,8018,10356,6525,5489,4971,8216,5834,5258,4519,ha dong
nhanh dan sinh noi tu bien giang vao cac khu dan cu phuong dong mai,Đường Biên Giang,"Tổ dân phố Phú Mỹ, phường Biên Giang",8280,5796,4968,4554,5134,3594,3436,3150,4267,2944,2644,2350,ha dong
nhanh dan sinh noi tu bien giang vao cac khu dan cu phuong dong mai,Đường Biên Giang,"Khu dân cư tổ dân phố 18, phường Đồng Mai",8280,5796,4968,4554,5134,3594,3436,3150,4267,2944,2644,2350,ha dong
nhanh dan sinh noi tu quoc lo 6: doan tu sat den cau mai linh,Quốc lộ 6A,"Khu dân cư phường: Đồng Mai, Yên Nghĩa",11040,7507,6403,5851,6845,4654,4039,3628,5865,4268,3871,3343,ha dong
qua khu ha tri i,Công ty sách Thiết bị trường học,Công ty Giày Yên Thủy,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
to huu,Giáp quận Nam Từ Liêm,Đường Vạn Phúc,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
truc phat trien phia bac,Đường Lê Trọng Tấn,Đường Yên Lộ,16704,10524,8853,8018,10356,6525,5489,4971,8216,5834,5258,4519,ha dong
ha cau,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
hoang dieu,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
hoang hoa tham,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
hoang van thu,Đầu đường,Cuối đường,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
huynh thuc khang,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
la,Đầu đường,Cuối đường,11730,7859,6686,6100,7273,4873,4145,3782,6109,4215,3299,2933,ha dong
la noi,Đầu đường,Cuối đường,11730,7859,6686,6100,7273,4873,4145,3782,6109,4215,3299,2933,ha dong
le hong phong,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
le lai,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
le loi,Quang Trung,Đường Tô Hiệu,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
le loi,Đường Tô Hiệu,Công ty Sông Công,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
le quy don,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
le trong tan,Giáp Hoài Đức,Ngã tư đường Nguyễn Thanh Bình và Đường Lê Trọng Tấn,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
le trong tan,Ngã tư đường Nguyễn Thanh Bình và Đường Dương Nội,Ngã tư đường Quang Trung và đường Văn Khê,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
luong ngoc quyen,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
luong van can,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
ly thuong kiet,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
ly tu trong,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
minh khai,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
ngo dinh man,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
ngo gia kham,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
ngo gia tu,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
ngo quyen,Từ Cầu Am,Đường Tố Hữu (tại cầu kênh La Khê và tòa nhà The Pride),14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
ngo thi nham,Đầu đường,Cuối đường,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
ngo thi sy,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
nguyen cong tru,Đầu đường,Cuối đường,14400,9072,7632,6912,8500,6035,5440,4675,7083,5029,4533,3896,ha dong
nguyen khuyen,Đầu đường,Cuối đường,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
nguyen thai hoc,Đầu đường,Cuối đường,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
nguyen thanh binh,Ngã tư đường Tố Hữu và đường Vạn Phúc,Đường Lê Trọng Tấn,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,ha dong
nguyen thuong hien,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
nguyen trai,Đầu đường,Cuối đường,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
nguyen truc,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
nguyen van loc,Đầu đường,Cuối đường,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
nguyen van troi,Trần Phú,Ngã ba đầu xóm lẻ Mỗ Lao,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
nguyen viet xuan,Quang Trung,Bế Văn Đàn,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
nguyen viet xuan,Bế Văn Đàn,Ngô Thì Nhậm,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
nhue giang,Cầu Trắng,Cầu Đen,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,ha dong
nhue giang,Cầu Đen,Cuối đường,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
phan boi chau,Đầu đường,Đầu đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
phan chu trinh,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
phan dinh giot,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
phan dinh phung,Đầu đường,Cuối đường,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
phan huy chu,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
lua,Đầu phố,Cuối phố,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
mau luong (thay qua lang mau luong),Đường Phúc La,Chùa Trắng,11040,7507,6403,5851,6845,4654,4039,3628,5865,4268,3871,3343,ha dong
phu luong,Phố Xốm,Đình Nhân Trạch,9660,6665,5699,5216,5989,4133,3534,3234,4888,3372,2639,2350,ha dong
phuc la,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
phung hung,Cầu Trắng,Hết Viện bỏng Quốc gia,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
phung hung,Giáp Viện Bỏng Quốc gia,Hết địa phận quận Hà Đông,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
quang trung,Cầu Trắng,Ngô Thì Nhậm,29000,16240,13340,11890,17980,10069,8271,7372,14789,9202,7723,6984,ha dong
quang trung,Ngô Thì Nhậm,Lê Trọng Tấn,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
quang trung,Lê Trọng Tấn,Đường sắt,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
quoc lo 6a,Đường sắt,Cầu Mai Lĩnh,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
tan da,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
tan xa,Đầu đường,Cuối đường,12200,7930,6710,6100,7650,5508,4896,4207,6375,4590,4080,3506,ha dong
tay son,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
thanh binh,Đầu đường,Cuối đường,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
thanh cong,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
tieu cong nghe,Đầu đường,Cuối đường,16100,10143,8533,7728,9982,6289,5292,4791,7924,5624,5072,4359,ha dong
to hien thanh,Đầu đường,Cuối đường,14400,9072,7632,6912,8500,6035,5440,4675,7083,5029,4533,3896,ha dong
to hieu,Đầu đường,Cuối đường,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,ha dong
tran dang ninh,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
tran hung dao,Đầu đường,Cuối đường,21576,12730,10572,9493,13377,7893,6799,5886,10681,7476,6573,5661,ha dong
tran nhat duat,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
tran phu,Nguyễn Trãi,Cầu Trắng,34800,19140,15660,13920,21576,11867,9709,8630,18076,10599,8874,7969,ha dong
tran van chuong,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
trung nhi,Đầu đường,Cuối đường,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,ha dong
trung trac,Đầu đường,Cuối đường,19952,11971,9976,8978,12370,7422,6185,5567,9860,6852,5916,5324,ha dong
truong cong dinh,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
van khe,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
van la,Quang Trung,Cổng làng Văn La,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
van phu,Quang Trung,Đầu làng cổ nơi có nhà lưu niệm Bác Hồ,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
van phuc,Cầu Am,Ngã tư đường Tố Hữu và Nguyễn Thanh Bình,19488,11888,9939,8964,12083,7370,6162,5558,9628,6809,5893,5313,ha dong
van phuc,Ngã tư đường Tố Hữu và Nguyễn Thanh Bình,Hết địa phận Hà Đông,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
van quan,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
van yen,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
vu trong khanh,Đầu đường,Cuối đường,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,ha dong
vu van can,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
xa la,Đầu đường,Cuối đường,18560,11322,9466,8538,11507,7019,5983,5293,9038,6409,5784,4971,ha dong
xom,Công ty Giống cây trồng,"Cạnh lối rẽ vào làng Trinh Lương, phường Phú Lương",14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,ha dong
y la,Đầu đường,Cuối đường,11730,7859,6686,6100,7273,4873,4145,3782,6109,4215,3299,2933,ha dong
yen binh,Đầu đường,Cuối đường,14400,9072,7632,6912,8500,6035,5440,4675,7083,5029,4533,3896,ha dong
yen phuc,Đầu đường,Cuối đường,16000,9760,8160,7360,9349,6630,5983,5142,7791,5525,4986,4285,ha dong
yet kieu,Đầu đường,Cuối đường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,ha dong
bang liet,Đầu đường,Cuốiđường,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
bui huy bich,Đầu đường,Cuốiđường,27600,15732,12972,11592,17112,9754,8043,7187,13033,8309,7168,6354,hoang mai
bui xuong trach,Địa phận quận Hoàng Mai,ĐịaphậnquậnHoàngMai,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
dai tu,Giải Phóng (Quốc lộ 1A),CổngthônĐạiTừPhườngĐạiKim,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
dang xuan bang,Ngã ba phố Đại Từ,CôngtyCổphầnkỹthuậtThăngLong,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,hoang mai
dinh cong,Địa phận quận Hoàng Mai,ĐịaphậnquậnHoàngMai,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,hoang mai
dinh cong ha,Định Công,ĐịnhCôngThượng,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
dinh cong thuong,Cầu Lủ,Ngõ2T/ĐịnhCôngThượng,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
doan ngoai de,Giáp Phường Thanh Trì,HếtđịaphậnPhườngTrầnPhú,16000,9760,8160,7360,9920,6630,5983,5142,7791,5525,4986,4285,hoang mai
doan ngoai de,Giáp phường Trần Phú,HếtđịaphậnquậnHoàngMai,14400,9072,7632,6912,8928,6035,5440,4675,7083,5029,4533,3896,hoang mai
doan trong de,Giáp Phường Thanh Trì,HếtđịaphậnPhườngTrầnPhú,18400,11224,9384,8464,11408,6959,5818,5248,8960,6354,5734,4928,hoang mai
doan trong de,Giáp phường Trần Phú,HếtđịaphậnquậnHoàngMai,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,hoang mai
dong thien,Đầu đường,Cuốiđường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,hoang mai
bang b - thanh liet,Thôn Bằng B (Phường Hoàng Liệt),ThanhLiệt,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
dai kim di tan trieu,Kim Giang,HếtđịaphậnPhườngĐạiKim,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
de nguyen khoai (trong de),Giáp quận Hai Bà Trưng,HếtđịaphậnphườngThanhTrì,25300,14421,11891,10626,16445,9374,7729,6907,13033,8309,7168,6354,hoang mai
gom chan de song hong,Giáp Phường Thanh Trì,HếtđịaphậnPhườngTrầnPhú,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,hoang mai
khuyen luong,Đầu đường,Cuốiđường,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,hoang mai
kim giang,Địa phận quận Hoàng Mai,ĐịaphậnquậnHoàngMai,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
linh nam,Tam Trinh,NgãbaPhốVĩnhHưng,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,hoang mai
linh nam,Ngã ba Phố Vĩnh Hưng,ĐêsôngHồng,22040,12783,10579,9477,13665,7926,6799,5876,10681,7476,6573,5661,hoang mai
ngoc hoi (quoc lo 1a) phia co tau,Ngã ba Pháp Vân – Giải Phóng,HếtđịaphậnquậnHoàngMai,22040,12783,10579,9477,13665,7926,6799,5876,10681,7476,6573,5661,hoang mai
ngoc hoi (quoc lo 1a) phia doi dien tau,Ngã ba Pháp Vân – Giải Phóng,HếtđịaphậnquậnHoàngMai,31320,17539,14407,12841,19418,10874,8932,7962,15611,9531,7969,7230,hoang mai
noi quoc lo 1a - truong dinh,Giải Phóng (Quốc lộ 1A),TrươngĐịnh,30160,16890,13874,12366,18699,10472,8602,7667,14789,9202,7723,6984,hoang mai
noi tu vanh dai 3 den het khu tai dinh cu x2a phuong yen so,Vành đai 3,khutáiđịnhcưX2AphườngYênSở,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
noi tu linh den bang liet,Linh Đường,BằngLiệt,30160,16890,13874,12366,18699,10472,8602,7667,14789,9202,7723,6984,hoang mai
phap van,Quốc Lộ 1A,ĐườngLĩnhNam,31320,17539,14407,12841,19418,10874,8932,7962,15611,9531,7969,7230,hoang mai
phap van,Đường Lĩnh Nam,ĐêsôngHồng,30160,16890,13874,12366,18699,10472,8602,7667,14789,9202,7723,6984,hoang mai
quoc lo 1a - khu do thi phap van tu hiep,Đường Ngọc Hồi,KhuđôthịPhápVânTứHiệp,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
quoc lo 1a - nha may o to so 1,Đường Ngọc Hồi (Quốc lộ 1A),Nhàmáyôtôsố1,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,hoang mai
quoc lo 1b,Đường Pháp Vân,HếtđịaphậnquậnHoàngMai,31320,17539,14407,12841,19418,10874,8932,7962,15611,9531,7969,7230,hoang mai
sau lang yen duyen,Thôn Yên Duyên (Phường Yên Sở),ĐườngLĩnhNam,16560,10433,8777,7949,10267,6468,5442,4928,8145,5783,5213,4480,hoang mai
tu vinh hung - ubnd phuong thanh tri,Phố Vĩnh Hưng,UBNDPhườngThanhTrì,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
tu tam trinh den cho yen duyen,Tam Trinh,chợYênDuyên,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
vanh dai 3,Cầu Dậu,NguyễnHữuThọ,34800,19140,15660,13920,21576,11867,9709,8630,17254,10271,8627,7723,hoang mai
giai phong (phia di qua tau),Cầu Trắng,BếnxeGiápBát,27840,15869,13085,11693,17261,9839,8113,7250,13146,8381,7230,6409,hoang mai
giai phong (phia di qua tau),Bến xe Giáp Bát,NgãbaPhápVân,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,hoang mai
giai phong (phia doi dien tau),Cầu Trắng,BếnxeGiápBát,40600,21924,17864,15834,25172,13593,11076,9817,20540,11750,9695,8627,hoang mai
giai phong (phia doi dien tau),Bến xe Giáp Bát,NgãbaPhápVân,35960,19778,16182,14384,22295,12262,10033,8918,18076,10599,8874,7969,hoang mai
giap bat,Đầu đường,Cuốiđường,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
giap nhi,Ngõ 751 Trương Định,ĐìnhGiápNhị,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
hoang liet,Đầu đường,Cuốiđường,30160,16890,13874,12366,18699,10472,8602,7667,14789,9202,7723,6984,hoang mai
hoang mai,Đầu đường,Cuốiđường,24360,13885,11449,10231,15103,8609,7099,6343,11503,7764,6737,5981,hoang mai
hong quang,Cổng đến Mẫu giáp Đầm Sen,Ngõ192phốĐạiTừ,35960,19778,16182,14384,22295,12262,10033,8918,18076,10599,8874,7969,hoang mai
hung phuc,Đầu đường,Cuốiđường,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
kim dong,Đầu đường,Cuốiđường,35650,19608,16043,14260,22103,12157,9946,8841,17920,10508,8798,7901,hoang mai
linh dam,Đặng Xuân Bảng,Đườngvànhđai3,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
linh,Đầu đường,Cuốiđường,30160,16890,13874,12366,18699,10472,8602,7667,14789,9202,7723,6984,hoang mai
luong khanh thien,Đầu đường,Cuốiđường,27600,15732,12972,11592,17112,9754,8043,7187,13033,8309,7168,6354,hoang mai
mai dong,Đầu đường,Cuốiđường,25520,14546,11994,10718,15822,9019,7437,6645,12324,8011,6902,6162,hoang mai
minh khai,Địa phận quận Hoàng Mai,ĐịaphậnquậnHoàngMai,46800,25272,20592,18252,30420,16427,13385,11864,23798,13344,10964,9774,hoang mai
nam du,Đầu đường,Cuốiđường,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
nghiem xuan yem,Đoạn qua địa phận quận Hoàng Mai,ĐoạnquađịaphậnquậnHoàngMai,32200,18032,14812,13202,19964,11180,9183,8185,16291,9775,8227,7412,hoang mai
ngu nhac,Chân đê Thanh Trì,NgãbaphốNamDư,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
nguyen an ninh,Địa phận quận Hoàng Mai,ĐịaphậnquậnHoàngMai,34500,18975,15525,13800,22425,12334,10091,8970,17920,10508,8798,7901,hoang mai
nguyen canh di,Tòa nhà CTA5,TrạmnướctrongkhuĐTMĐạiKim,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,hoang mai
nguyen chinh,Đầu đường,Cuốiđường,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
nguyen cong thai,Số nhà E44 khu ĐTM Đại Kim – Định Công,ĐầuĐầmSenphườngĐịnhCông,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,hoang mai
nguyen duc canh,Đầu đường,Cuốiđường,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,hoang mai
nguyen duy trinh,Đầu đường,Cuốiđường,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,hoang mai
nguyen huu tho,Đầu đường,Cuốiđường,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,hoang mai
nguyen xien,Thuộc địa phận quận Hoàng Mai,ThuộcđịaphậnquậnHoàngMai,40320,21773,17741,15725,24998,13499,10999,9750,20626,11741,9678,8607,hoang mai
so thuong,Đầu đường,Cuốiđường,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
tam trinh,Minh Khai,"CầurẽvàokhuđôthịĐềnLừ(đườngvànhđai2,5)",35960,19778,16182,14384,22295,12262,10033,8918,18076,10599,8874,7969,hoang mai
tam trinh,"Cầu rẽ vào khu đô thị Đền Lừ (đường vành đai 2,5)",Cuốiđường,30160,16890,13874,12366,18699,10472,8602,7667,14789,9202,7723,6984,hoang mai
tan khai,Đầu đường,Cuốiđường,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
tan mai,Đầu đường,Cuốiđường,35650,19608,16043,14260,22103,12157,9946,8841,17920,10508,8798,7901,hoang mai
tay tra,Ngõ 532 đường Lĩnh Nam,ĐườngvànhđaiIII,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
thanh dam,Đầu đường,Cuốiđường,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
thanh lan,Số 75 phố Thanh Đàm,NgãbaphốNamDư,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
thinh liet,Đầu đường,Cuốiđường,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,hoang mai
thuy linh,Đê Sông Hồng,NhàmáynướcNamDư,18400,11224,9384,8464,11408,6959,5983,5248,8960,6354,5734,4928,hoang mai
tran dien,Đầu đường,Cuốiđường,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,hoang mai
tran hoa,Đầu đường,Cuốiđường,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,hoang mai
tran nguyen dan,Đầu đường,Cuốiđường,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,hoang mai
tran thu do,Đường vành đai III,NhàNƠ5khuđôthịPhápVân–TứHiệp,27600,15732,12972,11592,17112,9754,8043,7187,13033,8309,7168,6354,hoang mai
trinh dinh cuu,Đường vào Phường Định Công,LêTrọngTấn,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,hoang mai
truong dinh,Giáp quận Hai Bà Trưng,CầuSét,35960,19778,16182,14384,22295,12262,10033,8918,18076,10599,8874,7969,hoang mai
truong dinh,Cầu Sét,Đuôicá(ngã3đườngGiảiPhóng–TrươngĐịnh),31320,17539,14407,12841,19418,10874,8932,7962,15611,9531,7969,7230,hoang mai
tuong mai,Đầu đường,Cuốiđường,31050,17388,14283,12731,19251,10781,8855,7893,15477,9448,7901,7168,hoang mai
vinh hung,Đầu đường,Cuốiđường,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
